[zoho-seed-upload] DB OK
[zoho-seed-upload] Loading Zoho contacts index…
[zoho-seed-upload] Loading Zoho items index…
[zoho-seed-upload] Index: 17 contacts, 6 SKUs
[zoho-seed-upload] vendor_client EI-CLI-00001: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00002: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00003: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00004: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00005: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00006: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00007: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00008: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00009: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00010: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00011: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00012: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00013: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00014: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00015: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00016: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00017: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00018: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00019: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00020: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00021: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00022: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00023: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00024: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00025: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00026: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00027: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00028: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00029: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00030: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00031: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00032: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00033: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00034: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00035: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00036: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00037: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00038: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00039: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00040: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00041: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00042: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00043: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00044: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00045: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00046: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00047: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00048: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00049: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00050: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00051: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00052: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00053: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00054: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00055: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00056: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00057: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00058: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00059: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00060: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00061: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00062: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00063: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00064: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00065: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00066: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00067: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00068: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00069: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00070: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00071: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00072: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00073: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00074: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00075: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00076: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00077: already has zoho_id
[zoho-seed-upload] vendor_client EI-CLI-00078: already has zoho_id
