so_no,customer,pe_id,product_code,product_name,bom_status,mtype,mat_id,mat_code,mat_name,need_qty,po_no,po_id,po_status,link_state,po_qty
SO-00046,SOUL SKIN CLINIC LLP,3351,PR0006766,Skn Snax- Sunstick 15gm,Production Released,RM,3542,1001284,CCTG,1.035,DPO-003,1085,Released,linked:PR,3
SO-00046,SOUL SKIN CLINIC LLP,3351,PR0006766,Skn Snax- Sunstick 15gm,Production Released,RM,3564,1001331,AVOBENZONE,0.69,EI/PO/26-27/892,1033,Released,unlinked,25
SO-00204,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3500,SK2108AFC,SK ACNE LIMIT FACIAL CREAM FOR MODERATE ACNE 30ML,Production Released,RM,3542,1001284,CCTG,5.88,DPO-003,1085,Released,linked:PR,3
SO-00204,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3500,SK2108AFC,SK ACNE LIMIT FACIAL CREAM FOR MODERATE ACNE 30ML,Production Released,RM,3355,1000511,Niacinamide,4.8,EI/PO/26-27/926,1059,Released,unlinked,200
SO-00204,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3500,SK2108AFC,SK ACNE LIMIT FACIAL CREAM FOR MODERATE ACNE 30ML,Production Released,RM,3327,1000473,VEGAROL 1698,2.52,EI/PO/26-27/881,1026,Released,unlinked,100
SO-00204,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3500,SK2108AFC,SK ACNE LIMIT FACIAL CREAM FOR MODERATE ACNE 30ML,Production Released,RM,3277,1000412,Butyrospermum Parkii Butter,0.66,EI/PO/26-27/881,1026,Released,unlinked,80
SO-00204,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3500,SK2108AFC,SK ACNE LIMIT FACIAL CREAM FOR MODERATE ACNE 30ML,Production Released,RM,3411,1000612,WATER,74.748,DPO-005,1087,Released,unlinked,179
SO-00204,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3498,SK2202ATD,SKINKRAFT ACNE LIMIT FACIAL TONER FOR SLIGHTLY DRY SKIN 100 ML,Production Released,RM,3795,1001355,COSCARE - PDO,12,EI/PO/26-27/786,983,Released,unlinked,200
SO-00204,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3498,SK2202ATD,SKINKRAFT ACNE LIMIT FACIAL TONER FOR SLIGHTLY DRY SKIN 100 ML,Production Released,RM,3257,1000392,Salicylic Acid,3.6,EI/PO/26-27/881,1026,Released,unlinked,50
SO-00204,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3498,SK2202ATD,SKINKRAFT ACNE LIMIT FACIAL TONER FOR SLIGHTLY DRY SKIN 100 ML,Production Released,RM,3355,1000511,Niacinamide,3,EI/PO/26-27/926,1059,Released,unlinked,200
SO-00204,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3498,SK2202ATD,SKINKRAFT ACNE LIMIT FACIAL TONER FOR SLIGHTLY DRY SKIN 100 ML,Production Released,RM,3411,1000612,AQUA,274.95,DPO-005,1087,Released,unlinked,179
SO-00673,SAGAR MEDICOS,3375,PR0006850,CLAY MASK 1KG (BULK),Production Released,RM,3749,1001427,GLYCERINE IP - GODREJ,0.32,EI/PO/26-27/893,1034,Released,unlinked,500
SO-00673,SAGAR MEDICOS,3375,PR0006850,CLAY MASK 1KG (BULK),Production Released,RM,3749,1001427,GLYCERINE IP - GODREJ,0.32,EI/PO/26-27/925,1058,Released,unlinked,500
SO-00673,SAGAR MEDICOS,3375,PR0006850,CLAY MASK 1KG (BULK),Production Released,RM,3327,1000473,VEGAROL 1698,0.2,EI/PO/26-27/881,1026,Released,unlinked,100
SO-00673,SAGAR MEDICOS,3375,PR0006850,CLAY MASK 1KG (BULK),Production Released,RM,3277,1000412,Butyrospermum Parkii Butter,0.08,EI/PO/26-27/881,1026,Released,unlinked,80
SO-00673,SAGAR MEDICOS,3375,PR0006850,CLAY MASK 1KG (BULK),Production Released,RM,3334,1000483,Bentonite,0.02,EI/PO/26-27/836,1000,Released,unlinked,50
SO-00673,SAGAR MEDICOS,3375,PR0006850,CLAY MASK 1KG (BULK),Production Released,RM,3334,1000483,Bentonite,0.02,EI/PO/26-27/927,1060,Released,unlinked,300
SO-00673,SAGAR MEDICOS,3375,PR0006850,CLAY MASK 1KG (BULK),Production Released,RM,3411,1000612,AQUA,2.052,DPO-005,1087,Released,unlinked,179
SO-00059,M/s R K Pharmacy,3341,PR0004224-KC,PERSONIKS GENTLE FACE CLEANSER 80 ML,Production Released,RM,3749,1001427,GLYCERINE IP - GODREJ,6,EI/PO/26-27/893,1034,Released,unlinked,500
SO-00059,M/s R K Pharmacy,3341,PR0004224-KC,PERSONIKS GENTLE FACE CLEANSER 80 ML,Production Released,RM,3749,1001427,GLYCERINE IP - GODREJ,6,EI/PO/26-27/925,1058,Released,unlinked,500
SO-00059,M/s R K Pharmacy,3341,PR0004224-KC,PERSONIKS GENTLE FACE CLEANSER 80 ML,Production Released,RM,3438,1001082,GALSOFT SCT 40,6,EI/PO/26-27/785,982,Released,unlinked,200
SO-00059,M/s R K Pharmacy,3341,PR0004224-KC,PERSONIKS GENTLE FACE CLEANSER 80 ML,Production Released,RM,3795,1001355,"1, 3 - PROPANEDIOL",4,EI/PO/26-27/786,983,Released,unlinked,200
SO-00059,M/s R K Pharmacy,3341,PR0004224-KC,PERSONIKS GENTLE FACE CLEANSER 80 ML,Production Released,RM,3793,1001341,FLOCARE C 122 PF,0.2,EI/PO/26-27/892,1033,Released,unlinked,60
SO-00059,M/s R K Pharmacy,3341,PR0004224-KC,PERSONIKS GENTLE FACE CLEANSER 80 ML,Production Released,RM,3411,1000612,WATER,13.8,DPO-005,1087,Released,unlinked,179
SO-00193,MYSKINN,3480,PR0006401,MYSKINN WATER BURST CAREGEL 50ML,Confirmed,RM,3749,1001427,GLYCERINE IP - GODREJ,3,EI/PO/26-27/893,1034,Released,unlinked,500
SO-00193,MYSKINN,3480,PR0006401,MYSKINN WATER BURST CAREGEL 50ML,Confirmed,RM,3749,1001427,GLYCERINE IP - GODREJ,3,EI/PO/26-27/925,1058,Released,unlinked,500
SO-00193,MYSKINN,3480,PR0006401,MYSKINN WATER BURST CAREGEL 50ML,Confirmed,RM,3749,1001427,GLYCERINE IP - GODREJ,3,EI/PO/26-27/893,1034,Released,unlinked,500
SO-00193,MYSKINN,3480,PR0006401,MYSKINN WATER BURST CAREGEL 50ML,Confirmed,RM,3749,1001427,GLYCERINE IP - GODREJ,3,EI/PO/26-27/925,1058,Released,unlinked,500
SO-00193,MYSKINN,3480,PR0006401,MYSKINN WATER BURST CAREGEL 50ML,Confirmed,RM,3486,1001182,FM-proVB5,1.5,EI/PO/26-27/897,1038,Released,unlinked,40
SO-00193,MYSKINN,3480,PR0006401,MYSKINN WATER BURST CAREGEL 50ML,Confirmed,RM,3486,1001182,FM-proVB5,1.5,EI/PO/26-27/897,1038,Released,unlinked,40
SO-00193,MYSKINN,3480,PR0006401,MYSKINN WATER BURST CAREGEL 50ML,Confirmed,RM,3496,1001210,SODIUM HYALURONATE (CHEMICORE),0.06,EI/PO/26-27/787,984,Released,unlinked,10
SO-00193,MYSKINN,3480,PR0006401,MYSKINN WATER BURST CAREGEL 50ML,Confirmed,RM,3496,1001210,SODIUM HYALURONATE (CHEMICORE),0.06,EI/PO/26-27/787,984,Released,unlinked,10
SO-00193,MYSKINN,3480,PR0006401,MYSKINN WATER BURST CAREGEL 50ML,Confirmed,RM,3411,1000612,AQUA,121.5,DPO-005,1087,Released,unlinked,179
SO-00042,SOUL SKIN CLINIC LLP,3355,PR0005304,Skn Snax Creme Sunscreen SPF 50 PA+++ 75ml,Production Released,RM,3564,1001331,AVOBENZONE,2.5875,EI/PO/26-27/892,1033,Released,unlinked,25
SO-00042,SOUL SKIN CLINIC LLP,3355,PR0005304,Skn Snax Creme Sunscreen SPF 50 PA+++ 75ml,Production Released,RM,3411,1000612,WATER,61.798125,DPO-005,1087,Released,unlinked,179
SO-00109,MED MANOR ORGANICS PVT LTD..,3420,PR0004983,MEDMANOR MAXEMO 50ML,Production Released,RM,3749,1001427,GLYCERINE IP - GODREJ,7.5,EI/PO/26-27/893,1034,Released,unlinked,500
SO-00109,MED MANOR ORGANICS PVT LTD..,3420,PR0004983,MEDMANOR MAXEMO 50ML,Production Released,RM,3749,1001427,GLYCERINE IP - GODREJ,7.5,EI/PO/26-27/925,1058,Released,unlinked,500
SO-00109,MED MANOR ORGANICS PVT LTD..,3420,PR0004983,MEDMANOR MAXEMO 50ML,Production Released,RM,3564,1001331,AVOBENZONE,4.5,EI/PO/26-27/892,1033,Released,unlinked,25
SO-00109,MED MANOR ORGANICS PVT LTD..,3420,PR0004983,MEDMANOR MAXEMO 50ML,Production Released,RM,3355,1000511,Niacinamide,3,EI/PO/26-27/926,1059,Released,unlinked,200
SO-00109,MED MANOR ORGANICS PVT LTD..,3420,PR0004983,MEDMANOR MAXEMO 50ML,Production Released,RM,2998,1000040,ARLACEL 2121,3,EI/PO/26-27/901,1041,Released,unlinked,50
SO-00109,MED MANOR ORGANICS PVT LTD..,3420,PR0004983,MEDMANOR MAXEMO 50ML,Production Released,RM,3542,1001284,CCTG,3,DPO-003,1085,Released,linked:PR,3
SO-00109,MED MANOR ORGANICS PVT LTD..,3420,PR0004983,MEDMANOR MAXEMO 50ML,Production Released,RM,3285,1000422,SODIUM GLUCONATE,0.3,EI/PO/26-27/881,1026,Released,unlinked,25
SO-00109,MED MANOR ORGANICS PVT LTD..,3420,PR0004983,MEDMANOR MAXEMO 50ML,Production Released,RM,3496,1001210,SODIUM HYALURONATE (CHEMICORE),0.075,EI/PO/26-27/787,984,Released,unlinked,10
SO-00109,MED MANOR ORGANICS PVT LTD..,3420,PR0004983,MEDMANOR MAXEMO 50ML,Production Released,RM,3411,1000612,AQUA,105.45,DPO-005,1087,Released,unlinked,179
SO-00176,HEALIOS WOUND SOLUTIONS LLP,3464,PR0007415,SERISKIN SUN PROTECT CREAM50 ML,Confirmed,RM,3411,1000612,WATER,0,DPO-005,1087,Released,unlinked,179
SO-00669,Sweta Clinics Ultima,3335,PR0006599,ULTIMA MULTI RAY ULTRA DEFENSE SUNSCREEN SPF 50 PA+++ 50ml,Confirmed,RM,3542,1001284,CCTG,1.19,DPO-003,1085,Released,linked:PR,3
SO-00206,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3521,SK2112LMTIO2,SKINKRAFT LICORICE MICRONIZED TITANIUM DIOXIDE UV SUN PROTECT LOTION SPF 40 PA+++ 50ML,Production Released,RM,3542,1001284,CCTG,3,DPO-003,1085,Released,linked:PR,3
SO-00206,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3521,SK2112LMTIO2,SKINKRAFT LICORICE MICRONIZED TITANIUM DIOXIDE UV SUN PROTECT LOTION SPF 40 PA+++ 50ML,Production Released,RM,2998,1000040,ARLACEL 2121,0.925,EI/PO/26-27/901,1041,Released,unlinked,50
SO-00206,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3521,SK2112LMTIO2,SKINKRAFT LICORICE MICRONIZED TITANIUM DIOXIDE UV SUN PROTECT LOTION SPF 40 PA+++ 50ML,Production Released,RM,3327,1000473,VEGAROL 1698,0.8,EI/PO/26-27/881,1026,Released,unlinked,100
SO-00206,INCNUT LIFESTYLE RETAIL PRIVATE LIMITED,3521,SK2112LMTIO2,SKINKRAFT LICORICE MICRONIZED TITANIUM DIOXIDE UV SUN PROTECT LOTION SPF 40 PA+++ 50ML,Production Released,RM,3411,1000612,AQUA,31.175,DPO-005,1087,Released,unlinked,179
SO-00040,DERMA ESTHETIC ACADEMY,3356,PR0007097,LOVE YOUR SKIN GLAM DRIP FACE SERUM 30ML PR0007097,Confirmed,RM,3542,1001284,CCTG,0.18,DPO-003,1085,Released,linked:PR,3
SO-00040,DERMA ESTHETIC ACADEMY,3356,PR0007097,LOVE YOUR SKIN GLAM DRIP FACE SERUM 30ML PR0007097,Confirmed,RM,3795,1001355,COSCARE - PDO,0.15,EI/PO/26-27/786,983,Released,unlinked,200
SO-00040,DERMA ESTHETIC ACADEMY,3356,PR0007097,LOVE YOUR SKIN GLAM DRIP FACE SERUM 30ML PR0007097,Confirmed,RM,2998,1000040,ARLACEL 2121,0.06,EI/PO/26-27/901,1041,Released,unlinked,50
SO-00040,DERMA ESTHETIC ACADEMY,3356,PR0007097,LOVE YOUR SKIN GLAM DRIP FACE SERUM 30ML PR0007097,Confirmed,RM,3411,1000612,AQUA,2.184,DPO-005,1087,Released,unlinked,179
SO-00083,HEALTH Q LIFESCIENCES PRIVATE LIMITED,3406,PR0007033,SKINQ RX HYDRA FIX SERUM 30ML,Production Released,RM,3795,1001355,"1, 3 - PROPANEDIOL",6,EI/PO/26-27/786,983,Released,unlinked,200
SO-00083,HEALTH Q LIFESCIENCES PRIVATE LIMITED,3406,PR0007033,SKINQ RX HYDRA FIX SERUM 30ML,Production Released,RM,3496,1001210,SODIUM HYALURONATE (CHEMICORE),0.3,EI/PO/26-27/787,984,Released,unlinked,10
SO-00083,HEALTH Q LIFESCIENCES PRIVATE LIMITED,3406,PR0007033,SKINQ RX HYDRA FIX SERUM 30ML,Production Released,RM,3411,1000612,AQUA,49.32,DPO-005,1087,Released,unlinked,179
